ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
-59760.8025351614,-137619.555953354,-21431.1102280617,-90442.4214155674,-45355.5905824304,-55445.1443625428,-162611.987526,-33803.2966358364
-59430.7631343603,-125383.003079526,-23808.2913508415,-116567.307664676,-51138.3835948706,-42667.0145893991,-153052.781228781,-37092.0825956464
-57446.6918009818,-80923.8844319806,-22359.5295681953,-115775.961036611,-47364.6275997087,-57735.3576132879,-115669.495755136,-33421.7302794457
-25049.472992301,-104410.748201519,-14242.3023498058,-119806.316641659,-47051.1740125269,-43097.2333171666,-89366.0329600275,-24200.5106472969
-21845.7308264673,-84603.373620227,-3134.51010683179,-47756.0277412981,-38578.9537044764,-52143.3894256055,-70596.0032244325,-13472.9619804025
-7051.02909618616,-42472.4004225731,983.37266087532,-17960.80508448,-22972.8554776162,-23223.3693038225,6306.92554686964,-7558.18977349997
-12164.0640590787,-49529.7363169193,-1030.57183098793,-32074.9373163432,-5506.30758649111,-20116.8229157925,-8983.77612355072,-10082.1062969267
-22324.0035920143,-48175.5134791108,-3319.35312712193,-21800.9406427145,-15919.5001960546,-26845.8687626123,-23442.6102932394,-3022.00396490097
-30384.7370970845,-85700.371799171,-6115.94128751755,-51524.0053290129,-16805.3976336122,-36455.5049170256,-21938.6215148568,-10588.0628003478
-24628.4563929141,-81352.6242069006,-6928.37802248448,-40143.88010104,-17944.3645729423,-30634.1490524262,-23343.1948890667,-11258.4061777592
-35316.5605563223,-65863.2380027175,-13736.6670283675,-50269.516611293,-24006.4767240286,-51284.6389974654,-68394.0900408146,-23319.8060896397
-55679.6025509089,-77030.6571091116,-17931.1422855854,-103820.29268311,-47252.9295069501,-39231.215655677,-119576.548200354,-22551.8189485371
-76547.4752572775,-110281.806658283,-21448.4532057922,-100748.132836379,-42468.8973451629,-50612.6974456608,-132486.676414683,-31583.858435452
-66435.99926278,-142729.623941898,-23830.2208907604,-128132.606639065,-54923.2442200184,-43046.0722183585,-143691.827206601,-33610.6992356777
-52616.5204549432,-81040.3173033595,-19703.4333312511,-120260.096523821,-40522.2009184361,-42071.4575492814,-147397.136340261,-27998.8850362152
-21268.2627289556,-82425.7468382225,-14111.3291636407,-111160.315012515,-39602.4151437879,-41741.7018837864,-99244.1867140234,-26453.0925646424
-14968.896277152,-82582.3794164509,-2648.30988168716,-48479.6217347086,-44404.3579955101,-21596.9683376998,-30549.555059731,-11689.5792824626
-25978.3637111187,-46418.5007966384,-1693.6936583519,-14795.8950203657,-15015.0140317678,-17496.4548493624,-12757.2497715205,-5309.09790843725
-20364.6668846831,-39587.8224894032,-738.687155127525,-4097.91040888429,-13074.6989347935,-17670.7378196865,-33578.7788339257,-6107.26883846521
-26795.7601183355,-46158.7591278404,-6326.83223938942,-28283.8346780539,-18683.6409774795,-19199.1124827564,-41417.563503366,-2024.03077828884
-27681.9763927981,-54057.9600330442,-6021.59721374512,-36872.7656850517,-17278.6445876956,-33635.8846876621,-42103.2930156961,-12421.7586891353
-30144.7218004614,-62783.7949535996,-11253.3365449905,-42827.7544350401,-16123.8732964993,-38391.7283480167,-38969.7904751375,-12044.0468622297
-37083.9627810121,-84018.4785089195,-13202.3707756996,-56490.692636922,-23785.5461368072,-38123.2844228,-73297.3637784123,-15225.4809435904
-40561.1284441203,-92015.2869049758,-17591.1638786197,-103069.632451933,-31361.2714755442,-52362.6241243258,-96038.1850711703,-28911.4974498721
-38944.9910884649,-121671.157493643,-20740.9976050258,-104217.505363107,-45323.7243463099,-64650.8783976063,-103027.269714743,-32460.5335193872
-59877.530300349,-119526.828676611,-26339.8922653198,-107813.315697655,-54169.6434918046,-56234.2934155315,-104376.421353698,-32450.3060141802
