ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
64964.9599880188,64870.2381823035,65208.9507161856,64717.4127519023,64469.7164099657,65707.3038397214,64627.673835762,65472.2195863547
60700.1167295102,59005.2343556059,55534.4779608439,60137.1881387127,60977.8226892826,63558.1964185783,59694.0877611821,59368.1736316636
54103.5257348383,54021.3797588691,49588.0190258951,55216.0536045441,54337.7003560417,51162.0380493777,54905.7321787586,54263.8632728809
55062.3964224552,55772.9080849672,47478.3462019913,57089.4120788457,57943.2592496768,57099.897947757,56090.5279748698,57022.1287376223
64592.487188428,64889.8857873703,64709.9826011453,64929.9320691271,65034.5794555756,62991.6847230657,63977.1755874513,63760.5680294124
64020.6697555705,64509.134340807,65267.1970630055,62912.3971937207,64804.3127281932,65377.9487649329,63319.8373309953,62727.9356992887
57330.6900191974,57284.2982383821,57099.1614697649,58494.5382579941,56142.7077477532,58118.8866192403,61354.2173979933,57811.3623324567
70840.5390198887,70443.8360467752,60821.3255817414,69921.5096534363,71360.4766861737,70688.6507608514,71281.7328021418,67581.8959879747
81460.6758324017,82907.2494618955,74951.3312199287,81096.5034238036,79360.3061918391,81756.4219050291,81304.4503125869,75411.1141247849
92768.0229932999,91951.6485498104,91822.3065711198,91211.5984341353,91987.9726795235,93470.2219350605,90333.7151597404,90700.8598659761
100318.263158468,95595.7209429953,98550.0827976698,96047.9165983714,98640.0211612951,98772.094541715,97444.5802529386,96816.0703326761
83846.7534220415,100364.975671245,82300.4964942174,84728.6143456831,91483.6506591455,87400.0388283811,85422.9102315043,83153.5594323691
65070.0214690768,66415.3687788614,64422.7940675899,64189.4962306875,64469.1642212878,68239.4582074398,64668.6525216852,64824.5988066885
59765.2231452349,59477.1147697303,61153.8635645244,60813.0108616959,60679.315507434,62548.751788277,60149.4712224054,59645.4963650584
53951.184539371,53965.1417548567,55134.1175651312,55783.1640455497,55046.6483060431,54705.241042223,55300.2825012128,54804.6173546862
58619.2362378924,55730.0065242291,58051.444970585,57436.3633247437,56397.9587362483,53935.3423481495,56429.2410162081,56514.2552525286
64852.3853056,64149.5941625958,65255.6870653852,64719.8578130599,64029.6405487797,64803.9443166774,62319.725353243,64435.5416981247
58458.481794469,61350.0017134468,63565.3775460201,62715.7547554942,63269.8812030561,57246.7976292529,64020.7321427288,58908.9113000196
57924.4260926641,55069.0720719806,60847.7583848562,58462.03765907,60216.5864249798,58045.9307643463,61440.3428407329,56895.0583784509
71390.1248615342,63311.7207986226,67001.8034188731,69326.4848180603,71507.2644266646,66577.1482473284,71176.5082769856,69416.2995623101
81789.2853039048,84310.6871793216,84289.846099971,80777.6700780047,80111.252210259,84018.1797271152,80740.9063553965,83136.5696756049
92775.2723848194,91933.2484467733,90470.2604004439,91215.5284538925,90586.3554696585,91038.8271114721,91459.7757331702,94249.8155345712
96109.3243285531,96751.0891512635,99577.4733359812,98474.3717633223,97060.4431467149,96391.974559178,99855.5737688013,97593.5894092624
86140.4959856086,82078.7086325613,79781.6262388107,84480.3649441836,83770.3656162486,86513.3904776046,84437.4799226683,91341.2008751468
64979.9676454731,62900.5997357931,64793.5871462969,64927.3803457874,64817.6110345135,60284.7114692341,64825.5821243123,64415.5461720886
62021.8479045235,59336.936052516,65635.6182157086,60111.1015924777,64121.4440691037,60918.0063583339,59692.6988257486,61304.6869995893
57068.5402153937,55476.9697470668,53438.9356491898,55063.141316567,54169.1431149187,54815.5262775275,55018.794230657,57919.0116159989
55938.0599252721,56290.8292105725,55552.8733473661,56288.3355633614,51788.227113078,57995.0297656155,57250.7716817828,58010.0166347922
65244.2511086141,62447.2788760589,65414.4600308069,64147.9334024002,63429.850156316,67642.1834797697,65309.0721415466,64328.3257888778
59732.1374658247,64437.2369602465,64067.0140754446,63229.9560926933,65552.6528240634,67174.1955025242,62746.8306163892,68998.0903365995
59752.6902212067,59894.175877618,58009.123239115,58923.0395656473,57046.6806152083,52338.3424192836,61441.4257972037,57351.7812297691
70509.2228884043,69971.6265668579,68162.5704063984,69634.1238854532,72207.5750929675,68239.8319548225,71314.7363205823,66824.0677135446
79461.0517260993,73640.941013045,80872.2817379423,80578.7109464591,81373.2216831244,76800.2205919765,79509.4004386252,77691.8421381903
88374.2640196017,91949.4823124815,91901.837078637,91172.13918054,91769.073071962,92535.8178964034,91541.0291603826,89908.5233181193
98067.1789244588,104002.319947981,92726.8447267882,97381.0224217119,95097.7194084135,97526.4077421297,97372.0151922255,97349.5570434578
84727.1663114088,83374.2876079829,79289.8729997894,84626.6959859749,80965.1901741782,87380.3190993451,84382.9936314355,84468.3993502799
64227.8119013117,63348.5519402574,58896.3934104535,64120.1194039124,68148.4458840101,67066.993150317,65040.5000267979,63922.2862684049
60307.0707485594,59685.6822020702,59794.9262706145,60712.8502697914,63707.8196079094,62709.4747314247,60481.4738747852,59357.9783396275
58291.220125082,54809.117045893,54460.1148295652,54797.7965162682,55347.6383319976,55299.3720617723,55869.8901557308,56197.2395063789
56184.4717377676,57148.6872611907,53501.4569503598,56815.0302185345,56174.0637594577,54570.2540802488,56483.969336754,56009.2778580806
63959.1218119041,65104.447925152,65346.7961914755,63383.7761978139,63394.5710032177,65685.0978067187,65526.1221815571,63622.9693727389
60549.5819689812,60978.1255040447,60027.9566342115,62721.1425977899,55276.7808705276,65612.8388541518,64271.4137493016,58301.5693838564
57120.8545361065,55373.1712613693,61602.8840998796,59207.2742094098,56669.7420168064,60158.1217590349,59613.159506063,55952.6114082687
69759.6211979925,68277.1577517574,71210.1820076465,70286.6371453953,66895.2952348582,68544.7207971681,71272.0500210617,70155.6177845926
78497.9484728595,81639.2077930962,81100.0022523362,80593.0185857934,84484.5268546477,80631.2713352397,81278.2042075052,75896.442843328
90253.2950496514,91748.0029668446,89298.9802674244,91155.2820034813,91701.0526862676,91545.4144691176,91529.5756388382,95711.9581118008
95054.850306875,96110.3811805528,97197.0058353164,97487.9913759441,96912.076641865,98059.2383175535,96956.926498904,97443.006640929
83880.7323248315,79170.8108492514,77375.7676625038,84319.3145110344,83006.9068716399,88229.9211122218,84709.3439690777,83900.76614367
65864.1289109576,63176.3171047106,62500.4378600696,64561.0460551949,67724.4178054454,58928.5570307644,65255.8871061759,65474.728595691
59876.7101576294,59643.5403859593,56529.0244519915,59609.1428296221,58131.6312657981,59444.5982906597,60201.9558862896,60290.4170210905
53998.1726864525,55080.1269739245,49832.3070633354,54611.6075306765,53351.655367416,55684.0652820992,54932.0943290991,54320.2291322278
55156.6154980705,57548.8030294725,57482.5722446618,55741.5637901306,59308.7313055723,57347.8358494565,56114.5786886634,55627.82641056
62456.0062556594,64802.4483811266,61310.629953397,63099.2970387149,64313.9342122184,66846.9882384048,62612.9214664624,65840.7901569136
63899.0797116319,64141.2486725194,57832.0869205704,62243.606646277,66286.1074825735,63942.0979446448,64193.2743945746,62003.0852629902
59832.8981420899,59953.2211893493,56117.746575356,58227.5963907398,60090.7756346825,58831.7324882571,60329.7166139963,60562.7717230354
68382.7532935332,70571.0464793018,70721.4382992038,69024.5318363121,70899.7983626224,71250.3773057495,70970.5956991893,71244.8864284893
81496.0443670901,84097.8905179907,80329.6507065032,80919.7688857244,80773.4236486722,83099.0242478209,80333.8725610718,73749.35358409
92191.6678370427,92182.0338362044,91563.0536399527,90842.1443351239,90523.1611528388,90612.731106135,90856.0889585705,93681.3803679495
95636.0413731013,96028.712042995,98374.0018771338,98411.0775275686,94947.7672124829,97482.6976490668,96822.3770189481,98378.4884517248
84058.5478391503,83832.8558648121,87837.5867872505,85129.2484997289,83608.4768411036,84610.8522595492,85027.4453905988,83129.8061537073
64483.2395421035,71659.5616352228,63043.1112967656,65449.4315927922,61689.1079949348,57974.5680016732,64698.7071069805,64674.2315857731
60129.5379501661,58816.4437648189,55414.0242029051,62064.0348201688,57366.1766507364,60912.3882532361,61479.9357387038,63086.4824507809
54219.6985493391,60362.716925541,57235.1209629307,55032.2750991677,53483.4262020075,54161.0867993451,54928.5342760714,55319.9931895678
54972.0051966046,55730.021478762,55752.538390699,56071.3681555199,56160.2163085116,57568.8507725264,57723.0700766502,55621.5905404608
63081.8175695818,64551.2110197573,63983.1571443073,64794.8506801549,65161.7376776554,62549.7192414907,66587.2112710488,63784.30836502
63968.4391859183,64440.3715984339,63320.612515061,62659.7726425006,58750.3689257377,60205.3103266401,62378.123599614,64231.9227968152
58038.7644177602,60044.4067877079,62116.955283533,57866.4048810406,58964.7960652095,60094.9212156452,51186.8521429659,66651.9320996455
70674.5309102454,70897.9890436249,70685.1821208233,69177.5745506521,70025.5772863021,70342.1659901113,59730.6057460809,68719.8962489097
78725.0438742331,83345.9774957359,82156.8014719759,80825.8714746799,77311.2377743398,84009.254704299,80178.052360035,85717.6143840369
92745.1209368963,89480.1366998889,90708.6083008068,91578.223165015,91916.5482271636,92831.1015517521,91506.8388869508,94310.3133147161
100100.369132286,97073.9098513802,100162.125741979,96923.6828548286,98090.8973058578,97934.3034943625,96342.622329969,96814.9607456353
83895.6619048696,83035.0201440179,88586.0658064725,85990.0144436425,84140.7009121824,88045.1821401677,84561.4326453944,85035.9680071093
65451.4340384779,62488.5367723238,68882.0360067681,65315.6896840218,67596.5829709362,69175.3150603579,64817.4211348602,63944.4889148117
60109.7482153862,58825.4570230823,67227.978264682,60834.1933592896,60694.4803471856,65480.9440681846,60904.8526066063,60975.689300755
55049.1488206788,54257.0610695841,54382.0243941502,54986.1777056649,56176.6981907547,56951.6232218968,54913.4517366958,55609.7361873745
54990.2104613243,57079.9281537301,58960.1860601553,57403.4116682441,54407.3807195195,55779.7064403713,56757.7720028709,55709.993300455
63689.9050588365,65082.6092918258,65421.0722409979,64338.7666408405,65334.2336146358,63292.2354741403,64361.6279032016,63970.3730532747
62594.0961774603,58947.2274584225,61041.4003714365,62998.8902999447,64464.7901121666,65090.2771904314,64314.2866081071,64701.7172705343
57622.5716575811,59865.8567654942,60572.2664473919,58789.6128393305,55839.5545727472,57637.2225569496,51814.6046214448,58654.0720077567
71510.6708058657,69894.5787220252,75285.4361870799,69568.9236885013,69203.138019668,69909.675227065,67730.9772073918,68231.6900110243
81713.7580573573,79471.3231604314,84085.7937365299,80838.0233687967,80741.9100751267,72120.4572532968,81131.6509292517,88102.9027096855
89918.4183541848,90487.0089184642,91634.5050416237,91319.6542274793,91311.3653718724,89829.8458505563,91228.6331500848,84685.9889276334
95481.1231439051,95622.2397829079,94510.2264518844,97220.400195588,98583.2919646736,96378.2119281801,96748.0560368787,96832.6649623218
85919.6126095178,84562.203484115,85906.3911862484,83976.4531326607,88091.9914044823,74800.0657910446,84550.5663428534,83090.1133761923
64236.098940658,67073.945267912,73672.4119589216,65199.380284531,66263.4798689048,67995.4622522361,64985.0777854842,66843.2761951298
